company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
Eiffage,FR,Real Estate & Construction,Construction & Concessions,Back-office / Ops,Generative AI deployed with Google Cloud across 52000 workforce with 15 use cases for BIM planning and site safety,CONFIRMED,none,I,https://cloud.google.com/blog/fr/topics/clients/la-revolution-silencieuse-deiffage-quand-le-btp-sempare-de-lia-generative,2024
Elior,FR,Travel & Hospitality,Catering / Food Services,Core / Domain,L'Atelier des Menus AI menu-planning tool plus IBM Agentic AI and Data Factory for catering operations,CONFIRMED,none,P,https://www.elior.fr/,2025
Eramet,FR,Mining & Materials,Mining / Metals,Core / Domain,AI to accelerate critical-metal deposit discovery with BRGM and Lithosquare plus AI on metallurgical furnaces,CONFIRMED,none,P,https://www.eramet.com/fr/news/eramet-lithosquare-et-le-brgm-unissent-leurs-expertises-et-sappuient-sur-lia-pour-accelerer-la-decouverte-de-metaux-critiques/,2026
Euronext,FR,Financial Services,Financial Exchanges,Security / Risk,AI used for market surveillance to detect anomalies and ensure fair orderly transactions,CLAIMED,none,I,https://www.maddyness.com/2025/04/30/comment-euronext-et-la-finance-utilise-lia/,2025
FDJ,FR,Media / Entertainment / Gaming,Gaming / Lottery,Back-office / Ops,AI WIN generative AI assistant for employees plus agentic AI automating 70 business processes,CONFIRMED,70 processes automated,I,https://www.cio-online.com/actualites/lire-fdj-united-parie-sur-l-ia-agentique-pour-automatiser-ses-processus-16468.html,2025
Forvia,FR,Manufacturing & Robotics,Automotive Parts,Software / Code,Generative AI deployed across R&D targeting a 50 percent cut in R&D costs by 2028,CONFIRMED,50% R&D cost reduction target,I,https://www.zonebourse.com/cours/action/FORVIA-EX-FAURECIA-4647/actualite/,2025
Getlink,FR,Travel & Hospitality,Transport Infrastructure (Channel Tunnel),Core / Domain,AI predictive maintenance for cross-Channel shuttle rail fleet with Ekimetrics,CONFIRMED,none,I,https://www.zdnet.fr/actualites/getlink-eurotunnel-injecte-de-lia-dans-sa-maintenance-pour-baisser-les-pannes-399272.htm,2024
GTT,FR,Energy & Utilities,Engineering (LNG Containment),Core / Domain,Ascenz Marorka smart-shipping unit uses advanced AI for vessel performance and voyage optimization,CONFIRMED,none,P,https://www.gtt.fr/fr/actualites/ascenz-marorka-le-pole-smart-shipping-du-groupe-gtt-equipera-lensemble-de-la-flotte-du,2025
Icade,FR,Real Estate & Construction,Real Estate (REIT),Back-office / Ops,Generative AI roadmap for property management with training of over 1000 employees,CONFIRMED,1000+ employees trained,I,https://www.usine-digitale.fr/intelligence-artificielle/interview-nous-voulons-etre-les-pionniers-de-lia-dans-limmobilier-alexis-de-nervaux-icade,2024
ID Logistics Group,FR,Logistics & Supply Chain,Logistics / Supply Chain,Core / Domain,AI4ID program with 20+ AI projects deploying across warehousing from picking to transport,CONFIRMED,20+ projects deployed,P,https://www.id-logistics.com/media/2026/05/CP-ID-Logistics-AI4ID-Mai-2026.pdf,2026-05
Imerys,FR,Mining & Materials,Industrial Minerals,Back-office / Ops,Private generative AI platform built on Amazon Bedrock as cornerstone of AI strategy,CONFIRMED,none,P,https://aws.amazon.com/fr/blogs/france/comment-imerys-fait-damazon-bedrock-le-pilier-de-dsa-strategie-dia/,2024
