row_id,vendor,vendor_type,source_phrase,method
305,Google Cloud,cloud,"+ OpenAI GPT, Google Cloud), deployed acr",regex
306,Google Cloud,cloud,cross Maisons; Google Cloud data/AI platfo,regex
314,OpenAI,model,erprise; major OpenAI partnership (V,regex
314,NVIDIA,platform,tent) built on NVIDIA AI Enterprise;,regex
314,(in-house),inhouse,"Proprietary GenAI platform ""CRE",regex
318,Google,model,Google Gemini AI integrated,regex
320,Amazon AWS,cloud,Strategic AWS partnership to,regex
326,Microsoft,platform,lot built with Microsoft Azure AI Found,regex
326,Microsoft Azure,cloud,"with Microsoft Azure AI Foundry, in",regex
326,Palantir,platform,"osoft Azure AI Foundry, integrated wi",regex
328,Microsoft,platform,Adopted Microsoft Copilot for em,regex
328,(in-house),inhouse,(discontinuing proprietary genAI chatbot); 8 p,regex
329,Google,model,"ale"" on Google Vertex AI; accelerating",regex
330,OpenAI,model,atbot on Azure OpenAI Service + Copi,regex
330,Microsoft,platform,enAI Service + Copilot fed by group d,regex
330,Microsoft Azure,cloud,nal chatbot on Azure OpenAI Service,regex
331,Mistral AI,model,", and Le Chat (Mistral AI) bundled wi",regex
333,Mistral AI,model,rtnership with Mistral AI moving from,regex
335,Microsoft,platform,Microsoft partnership (~,regex
336,ServiceNow,platform,); Kore.ai and ServiceNow AI integration,regex
338,Mistral AI,model,rtnership with Mistral AI + joint AI,regex
341,Mistral AI,model,rtnership with Mistral AI to deploy g,regex
341,Microsoft,platform,"/stakeholders ""copilot"" water/waste/e",regex
346,Microsoft,platform,apps); Roche & Microsoft partnerships,regex
357,Kyndryl,integrator,entification); Kyndryl AI-powered IT,regex
358,Amazon AWS,cloud,with Google & AWS,regex
358,Salesforce,platform,ty engagement (Salesforce); cloud/AI pla,regex
359,OpenAI,model,ld externally; OpenAI partnership fo,regex
359,(in-house),inhouse,"""Nugget"" in-house AI-native customer",regex
363,(in-house),inhouse,"In-house ""Neev"" generative A",regex
369,OpenAI,model,6Eskai GPT-4-powered chatbo,regex
369,Microsoft,platform,"es, in-house + Microsoft): handles book",regex
369,(in-house),inhouse,"(10 languages, in-house + Microsoft): handl",regex
370,Amazon AWS,cloud,"77k employees, AWS partnership);",regex
370,Infosys,integrator,"""Infosys Topaz"" AI-firs",regex
375,Microsoft,platform,Microsoft Copilot deploy,regex
375,NVIDIA,platform,EPC projects; NVIDIA sovereign-AI d,regex
384,Microsoft Azure,cloud,"One super-app (Azure, 20M downloads",regex
384,(in-house),inhouse,0M downloads); in-house Ziva 2.0 loan origi,regex
389,TCS,integrator,e custom LLMs; TCS.AI services po,regex
393,NVIDIA,platform,"indi dialects, NVIDIA NeMo, ""GenAI-i",regex
405,Accenture,integrator,installations (Accenture); UptimeAI pre,regex
432,Microsoft,platform,lls Industrial Copilot & AI agents as,regex
432,NVIDIA,platform,rating system (NVIDIA partnership) —,regex
433,TCS,integrator,trial systems (TCS partnership; s,regex
435,Microsoft,platform,g value chain (Microsoft),regex
437,Amazon AWS,cloud,& smart grid (AWS/Databricks pla,regex
437,Databricks,platform,mart grid (AWS/Databricks platforms),regex
439,Accenture,integrator,cking chatbot; Accenture-built AI/ML mo,regex
441,SAP,platform,"/AI platforms (SAP, Google) for s",regex
457,Google,model,Google Cloud Vertex AI for automatic,regex
457,Google Cloud,cloud,Google Cloud Vertex AI for,regex
461,Microsoft,platform,orchestration (Microsoft Dynamics 365),regex
467,IBM,platform,app powered by IBM watsonx AI for,regex
474,IBM,platform,tion vehicles (IBM collaboration),regex
485,Microsoft,platform,ransformation (Microsoft partnership) t,regex
489,Google Cloud,cloud,-commerce with Google Cloud; completed fir,regex
492,SAP,platform,SAP Business AI +,regex
498,Mistral AI,model,Mistral AI partnership,regex
499,Microsoft,platform,Microsoft + NVIDIA colla,regex
499,NVIDIA,platform,Microsoft + NVIDIA collaboration,regex
501,Amazon AWS,cloud,AI chips (with AWS) in large-scal,regex
506,Microsoft,platform,Microsoft partnership fo,regex
508,Google,model,l (Vertex AI + Gemini) for enterpris,regex
508,Google Cloud,cloud,10-year Google Cloud deal (Vertex A,regex
509,IBM,platform,IBM watsonx-enable,regex
514,(in-house),inhouse,Proprietary generative AI platf,regex
518,OpenAI,model,"t (CB3 + Azure OpenAI), launched Mar",regex
518,Microsoft Azure,cloud,"chatbot (CB3 + Azure OpenAI), launc",regex
521,Microsoft Azure,cloud,dit functions (Azure),regex
528,Google,model,UBARU Lab uses Vertex AI/MLOps to analy,regex
530,Microsoft,platform,xpertise (with Microsoft Azure),regex
530,Microsoft Azure,cloud,with Microsoft Azure),regex
539,Snowflake,platform,Snowflake platform for g,regex
540,IBM,platform,ps (with PwC / IBM),regex
541,OpenAI,model,OpenAI partnership (M,regex
543,OpenAI,model,ChatGPT Enterprise rol,regex
546,OpenAI,model,"nce"" (SoftBank/OpenAI) deployment",regex
551,Google,model,trategy (incl. Gemini); ~100 concurr,regex
553,Anthropic,model,rtnership with Anthropic + NEC for fina,regex
555,OpenAI,model,"In-house ChatGPT (""行内ChatGPT"")",regex
555,(in-house),inhouse,"In-house ChatGPT (""行内ChatGPT",regex
556,IBM,platform,ysis (PoC with IBM),regex
564,Microsoft,platform,ative AI (M365 Copilot + Kao i-Lake p,regex
569,OpenAI,model,ion discovery (GPT + IBM Watson),regex
569,IBM,platform,scovery (GPT + IBM Watson),regex
572,IBM,platform,"IBM ""AI First BPO""",regex
574,(in-house),inhouse,company-wide (own model); 95% adoption,regex
578,Accenture,integrator,"t search (with Accenture, Jul 2025)",regex
581,OpenAI,model,"tive AI (Azure OpenAI), launched Jan",regex
581,Microsoft Azure,cloud,"generative AI (Azure OpenAI), launc",regex
586,Google Cloud,cloud,Data Center w/ Google Cloud; AI cited as e,regex
586,NVIDIA,platform,tructure incl. NVIDIA GB200 NVL72 (o,regex
587,Microsoft Azure,cloud,nterprises; on Azure from May 2026,regex
588,OpenAI,model,"ligence"" (with OpenAI, launched Feb",regex
589,(in-house),inhouse,"in ~2 months; own LLM ""Sarashina""; compan",regex
597,OpenAI,model,alog AI (Azure OpenAI) deployed to ~,regex
597,Microsoft Azure,cloud,"AI"" dialog AI (Azure OpenAI) deploy",regex
605,OpenAI,model,ChatGPT Enterprise com,regex
608,NVIDIA,platform,e data infra + NVIDIA ML for AI-driv,regex
609,Microsoft,platform,erative AI (MS Copilot/AWS) for minut,regex
609,Amazon AWS,cloud,"AI (MS Copilot/AWS) for minutes,",regex
614,Google,model,agents (Google Gemini Enterprise / N,regex
614,NVIDIA,platform,i Enterprise / NVIDIA) operate robot,regex
617,Cohere,model,"""Takane"" (with Cohere) + ""Fujitsu Ko",regex
617,(in-house),inhouse,"Own LLM ""Takane"" (with Cohe",regex
620,Anthropic,model,rtnership with Anthropic; Claude deploy,regex
627,IBM,platform,"n development (IBM ""Bob"") PoC to",regex
631,OpenAI,model,"""cotomi"" (v3, GPT-4-level, 128K to",regex
635,Anthropic,model,ansformation + Anthropic Claude partner,regex
644,(in-house),inhouse,"Proprietary ""CE-LLM"" edge AI te",regex
646,Amazon AWS,cloud,"erprise LLM"" + AWS AI agent infra",regex
653,Google,model,NVIDIA/Google DeepMind/SoftBank); AI,regex
653,NVIDIA,platform,"hysical AI, w/ NVIDIA/Google DeepMin",regex
655,OpenAI,model,ChatGPT deployed compa,regex
658,OpenAI,model,"from Oct 2024, OpenAI CoE partnershi",regex
664,OpenAI,model,"search (Azure OpenAI, from Sep 2023",regex
664,Microsoft Azure,cloud,"l info search (Azure OpenAI, from S",regex
672,OpenAI,model,"eiji AI Talk"" (ChatGPT) deployed to ~",regex
675,OpenAI,model,surveys (Azure OpenAI),regex
675,Microsoft Azure,cloud,nswer surveys (Azure OpenAI),regex
679,Amazon AWS,cloud,"Stick"" (Amazon Bedrock) generative AI",regex
681,Google,model,(Google Cloud/Vertex AI),regex
681,Google Cloud,cloud,ched Aug 2023 (Google Cloud/Vertex AI),regex
682,Databricks,platform,"AI (from 2023, Databricks platform)",regex
682,(in-house),inhouse,"Proprietary app ""AIGNIS"" genera",regex
684,OpenAI,model,"tive AI (Azure OpenAI + RAG); ""Takum",regex
684,Microsoft Azure,cloud,generative AI (Azure OpenAI + RAG);,regex
686,(in-house),inhouse,Proprietary AI for new-use expl,regex
698,Google,model,"Agent"" (Google Gemini Enterprise) to",regex
699,IBM,platform,t system (with IBM); AI-OCR for d,regex
700,OpenAI,model,"T, from 2023); OpenAI strategic part",regex
702,OpenAI,model,"tive AI (Azure OpenAI, from 2023)",regex
702,Microsoft Azure,cloud,"generative AI (Azure OpenAI, from 2",regex
702,(in-house),inhouse,"""NX-Brain"" proprietary generative AI (Azur",regex
714,OpenAI,model,"ChatGPT (Azure OpenAI, from Jun 2023",regex
714,Microsoft Azure,cloud,"ernal ChatGPT (Azure OpenAI, from J",regex
717,Amazon AWS,cloud,ive AI (Amazon Bedrock + Kendra) for,regex
721,Google,model,Vertex AI for aircraft-m,regex
723,(in-house),inhouse,In-house generative AI for q,regex
728,IBM,platform,mous vessels); IBM IoT+AI vehicle,regex
730,IBM,platform,"platform (with IBM, Jul 2026) int",regex
732,Microsoft,platform,loyees) + M365 Copilot/Copilot Studio,regex
736,Microsoft,platform,"latform + M365 Copilot; ""AI Promoter""",regex
743,OpenAI,model,nsformation) + ChatGPT Enterprise com,regex
748,OpenAI,model,"rom Apr 2023), ChatGPT Enterprise acr",regex
749,(in-house),inhouse,pecialized for in-house system program deve,regex
752,Accenture,integrator,dispatch (with Accenture); Cognite Data,regex
755,OpenAI,model,"tive AI (Azure OpenAI, Sep 2023); AI",regex
755,Microsoft Azure,cloud,"generative AI (Azure OpenAI, Sep 20",regex
755,(in-house),inhouse,"rug discovery; proprietary ""DS-GAI"" generative",regex
758,OpenAI,model,"chatbot (Azure OpenAI + Teams), comp",regex
758,Microsoft Azure,cloud,ierge chatbot (Azure OpenAI + Teams,regex
769,Microsoft,platform,ay 2024); M365 Copilot company-wide (,regex
781,Microsoft,platform,"nerative AI + ""Copilot for 駅員"" (sales",regex
783,OpenAI,model,CEO AI agent + ChatGPT Enterprise (Oc,regex
785,Microsoft,platform,M365 Copilot company-wide (,regex
786,OpenAI,model,ce (multi-LLM: ChatGPT/Claude/Gemini),regex
786,Anthropic,model,i-LLM: ChatGPT/Claude/Gemini),regex
786,Google,model,ChatGPT/Claude/Gemini),regex
786,(in-house),inhouse,"Self-developed ""TFHD Chat"" AI + ge",regex
787,OpenAI,model,gen AI (Azure OpenAI) voice/text au,regex
787,Microsoft Azure,cloud,manual gen AI (Azure OpenAI) voice/,regex
789,Google,model,"w"" experience (Vertex AI Search); AI-ge",regex
792,Google Cloud,cloud,"endations AI"" (Google Cloud) on MUJI passp",regex
795,Google Cloud,cloud,"tion (13 LLMs, Google Cloud) company-wide;",regex
798,OpenAI,model,ChatGPT Enterprise com,regex
802,OpenAI,model,nce/ad review; OpenAI strategic alli,regex
802,Amazon AWS,cloud,"m"" (multi-LLM, AWS Bedrock) for c",regex
807,OpenAI,model,"AI apps (Azure OpenAI, RAG) within 6",regex
807,Microsoft Azure,cloud,"ative AI apps (Azure OpenAI, RAG) w",regex
808,Amazon AWS,cloud,entetsu etc.); AWS-automated card,regex
809,OpenAI,model,"nal ""Chat AI"" (OpenAI API) mandatory",regex
815,(in-house),inhouse,"Own LLM ""Rakuten AI 3.0"" (~",regex
819,Accenture,integrator,"approval (with Accenture, checks 50+ it",regex
820,Anthropic,model,11 functions); Anthropic Claude integra,regex
821,NVIDIA,platform,"shipyard (with NVIDIA digital twin,",regex
823,Snowflake,platform,Snowflake AI Data Cloud,regex
825,Microsoft,platform,M365 Copilot company-wide (,regex
828,OpenAI,model,"In-house ChatGPT (4,200 users)",regex
828,(in-house),inhouse,"In-house ChatGPT (4,200 user",regex
830,OpenAI,model,tive AI (Azure OpenAI) company-wide;,regex
830,Microsoft Azure,cloud,generative AI (Azure OpenAI) compan,regex
831,Microsoft,platform,M365 Copilot + generative A,regex
832,IBM,platform,ramework (with IBM) accelerating,regex
833,Microsoft,platform,M365 Copilot deployed globa,regex
843,Microsoft,platform,AI agents (w/ Microsoft); KB GenAI Por,regex
846,Amazon AWS,cloud,"nced Nov 2025, AWS partner); AI i",regex
848,OpenAI,model,ional agents); OpenAI orchestration;,regex
849,(in-house),inhouse,21 self-developed financial AI agents,regex
853,OpenAI,model,H-GPT (self-develope,regex
853,(in-house),inhouse,H-GPT (self-developed genAI); AI corporat,regex
856,OpenAI,model,ChatGPT Enterprise for,regex
859,Amazon AWS,cloud,AI platform on AWS (Aug); patente,regex
860,Microsoft Azure,cloud,/petrochem (MS Azure); AI factory d,regex
862,NVIDIA,platform,"cters (CPC) w/ NVIDIA; ~1,000-GPU da",regex
863,Palantir,platform,Palantir AI for insuran,regex
864,OpenAI,model,d-cloud genAI (GPT + proprietary),regex
864,(in-house),inhouse,d genAI (GPT + proprietary); loan/subscription,regex
866,Microsoft,platform,"ner MQ), Brity Copilot, Brity On AICC",regex
868,Anthropic,model,com LLM; $100M Anthropic investment,regex
870,(in-house),inhouse,mbined cycle); proprietary predictive maintena,regex
876,OpenAI,model,Azure OpenAI conversational,regex
876,Microsoft Azure,cloud,Azure OpenAI convers,regex
878,(in-house),inhouse,SS operations; proprietary large-scale AI for,regex
881,(in-house),inhouse,Self-developed AI procurement/supp,regex
885,OpenAI,model,AI assistant (ChatGPT/Claude/DeepL);,regex
885,Anthropic,model,stant (ChatGPT/Claude/DeepL); constr,regex
886,Google Cloud,cloud,rk (Ericsson); Google Cloud Adaptive Intel,regex
887,Microsoft,platform,"ce, Jul 2025); Microsoft partnership (1",regex
890,OpenAI,model,AIBC) on Azure OpenAI (agentic beaut,regex
890,Microsoft Azure,cloud,elor (AIBC) on Azure OpenAI (agenti,regex
892,Palantir,platform,I partnership; Palantir symposiums,regex
895,Amazon AWS,cloud,"(from 2025, w/ AWS); equipment fa",regex
897,Meta,model,"ame creation), Llama-VARCO LLM, VAR",regex
904,OpenAI,model,opping agents; OpenAI ChatGPT commer,regex
906,OpenAI,model,2 days); Azure OpenAI; AI deburring,regex
906,Microsoft Azure,cloud,on in 2 days); Azure OpenAI; AI deb,regex
906,NVIDIA,platform,bot solutions (NVIDIA intelligent ma,regex
908,OpenAI,model,"internal LLM + ChatGPT, company-wide,",regex
912,OpenAI,model,+ Snowflake); ChatGPT-based EV custo,regex
912,Amazon AWS,cloud,data analysis (AWS + Snowflake);,regex
912,Snowflake,platform,nalysis (AWS + Snowflake); ChatGPT-base,regex
913,Amazon AWS,cloud,ontact Center (AWS); genAI chatbo,regex
914,OpenAI,model,"sistant (Azure OpenAI, Nov 2024, uni",regex
914,Microsoft Azure,cloud,"dev assistant (Azure OpenAI, Nov 20",regex
916,OpenAI,model,"; internal ""LS GPT"" platform",regex
923,(in-house),inhouse,In-house AI production syste,regex
925,OpenAI,model,otte Duty Free ChatGPT shopping (duty,regex
926,OpenAI,model,ation w/ SNU); OpenAI AI-commerce pa,regex
935,NVIDIA,platform,up-wide AI TF; NVIDIA physical-AI/ro,regex
936,OpenAI,model,"""LS GPT"" + ""LS Biz"" ge",regex
944,Mistral AI,model,n investing in Mistral AI to introduc,regex
970,(in-house),inhouse,GigaChat proprietary foundation LLM depl,regex
1011,Google Cloud,cloud,Google Cloud partnership fo,regex
1026,Palantir,platform,s; decade-long Palantir partnership (r,regex
1032,Microsoft,platform,ustomer care); Microsoft Dynamics 365 f,regex
1034,Microsoft,platform,AI Statement); Microsoft partnership (s,regex
1037,SAP,platform,AI-led SAP S/4HANA transf,regex
1038,SAP,platform,al program and SAP partnership to,regex
1050,Microsoft,platform,5-year Microsoft collaboration,regex
1052,Google Cloud,cloud,"m), built with Google Cloud + ""Hailo"" plat",regex
1053,OpenAI,model,sistant (Azure/OpenAI) giving trades,regex
1053,Microsoft Azure,cloud,nAI assistant (Azure/OpenAI) giving,regex
1054,Google,model,; Google Cloud/Gemini multi-year par,regex
1054,Google Cloud,cloud,n disclosure); Google Cloud/Gemini multi-y,regex
1054,(in-house),inhouse,r partnership; proprietary GenAI tools product,regex
1055,Oracle,platform,ven platforms (Oracle/Allvue) for op,regex
1057,OpenAI,model,hed IHG app in ChatGPT + AI conversat,regex
1057,Google Cloud,cloud,"7,000+ hotels; Google Cloud gen-AI travel",regex
1059,Capgemini,integrator,Long-term Capgemini partnership to,regex
1060,Microsoft,platform,Microsoft AI deal to dee,regex
1061,(in-house),inhouse,In-house AI Engine Optimisat,regex
1063,Microsoft,platform,Rolling out Microsoft AI assistant t,regex
1064,OpenAI,model,"Google Gemini, ChatGPT (with commerce",regex
1064,Google,model,"opilot, Google Gemini, ChatGPT (with",regex
1064,Microsoft,platform,"purchasing via Microsoft Copilot, Googl",regex
1066,Google,model,; Google Cloud Vertex AI + Athena platf,regex
1066,Google Cloud,cloud,nds of times); Google Cloud Vertex AI + At,regex
1067,OpenAI,model,"ec GPT"" (Azure OpenAI) across UK por",regex
1067,Microsoft,platform,Microsoft collaboration:,regex
1067,Microsoft Azure,cloud,"""Landsec GPT"" (Azure OpenAI) across",regex
1068,Amazon AWS,cloud,ser responses; AWS AI-powered doc,regex
1069,Microsoft,platform,"s bank; 30,000 Copilot licences (93%",regex
1072,Microsoft,platform,ulti-billion-$ Microsoft partnership: A,regex
1074,Microsoft,platform,uct discovery; Microsoft partnership,regex
1079,OpenAI,model,ransformation; OpenAI collaboration,regex
1079,Amazon AWS,cloud,5-yr Accenture+AWS deal; ML+GenAI,regex
1079,Accenture,integrator,HQ bank); 5-yr Accenture+AWS deal; ML+G,regex
1085,Google Cloud,cloud,(Singapore) + Google Cloud strategic part,regex
1086,OpenAI,model,ovation; Azure OpenAI + Copilot for,regex
1086,Microsoft,platform,Azure OpenAI + Copilot for marketing;,regex
1086,Microsoft Azure,cloud,&D innovation; Azure OpenAI + Copil,regex
1090,Microsoft,platform,digital twins; Microsoft Azure ML,regex
1090,Microsoft Azure,cloud,ins; Microsoft Azure ML,regex
1091,Microsoft,platform,Sage Copilot — generative-A,regex
1092,Microsoft,platform,supermarkets; Microsoft gen-AI for cus,regex
1093,Google,model,tant on Google Vertex AI; AI tools for,regex
1094,Databricks,platform,"n AI cos, e.g. Databricks); no internal",regex
1095,Microsoft,platform,) to serve AWS/Microsoft/Google; £12.6b,regex
1095,Amazon AWS,cloud,line) to serve AWS/Microsoft/Goog,regex
1097,C3.ai,platform,optimisation (C3.ai); moved from p,regex
1100,OpenAI,model,icrosoft/Azure OpenAI AI solution (M,regex
1100,Microsoft,platform,Microsoft/Azure OpenAI A,regex
1100,Microsoft Azure,cloud,Microsoft/Azure OpenAI AI solu,regex
1102,OpenAI,model,SC GPT generative-AI,regex
1109,Microsoft,platform,ds) with IBM & Microsoft; 10-yr Microso,regex
1109,IBM,platform,er needs) with IBM & Microsoft; 1,regex
1111,Cognizant,integrator,room-cleaning; Cognizant AI-assisted de,regex
1120,OpenAI,model,"zation, 2024); OpenAI+BCG collaborat",regex
1123,NVIDIA,platform,ce platform w/ NVIDIA Blackwell GPUs,regex
1129,OpenAI,model,"ps); ""MyStory"" ChatGPT app for claim",regex
1130,Google,model,Gemini models + AI Ov,regex
1131,Google,model,y as Class A — Gemini + AI Overviews,regex
1133,Amazon AWS,cloud,g assistant on AWS Bedrock (later,regex
1137,NVIDIA,platform,per reports); NVIDIA AI for fraud p,regex
1138,Anthropic,model,"ing (partners: Anthropic, Palantir, AWS",regex
1138,Amazon AWS,cloud,"pic, Palantir, AWS, Google); comp",regex
1138,Palantir,platform,"rs: Anthropic, Palantir, AWS, Google);",regex
1143,NVIDIA,platform,n engineering; NVIDIA BioNeMo,regex
1146,Microsoft,platform,"""Aon Broker Copilot"" — proprietary",regex
1146,(in-house),inhouse,"ker Copilot"" — proprietary patent-pending plat",regex
1147,Palantir,platform,Multi-year Palantir AI partnership,regex
1148,Anthropic,model,B Broadcom XPV/Anthropic; building AI i,regex
1150,NVIDIA,platform,ring AI chips; NVIDIA collaboration,regex
1153,Microsoft,platform,oyed Kalepa AI Copilot underwriting w,regex
1157,(in-house),inhouse,tics platform (proprietary data + AI) for clie,regex
1159,NVIDIA,platform,"ce automation, NVIDIA NeMo agents);",regex
1162,Google Cloud,cloud,eplenishment + Google Cloud AI for store o,regex
1164,OpenAI,model,oduct cloud w/ ChatGPT + AI features,regex
1172,Google Cloud,cloud,"ice (partnered Google Cloud + Accenture, 2",regex
1172,Accenture,integrator,"Google Cloud + Accenture, 2024)",regex
1175,Microsoft,platform,"""Aladdin Copilot"" generative AI",regex
1177,Anthropic,model,nt (built with Anthropic) + Agentic AI,regex
1180,OpenAI,model,"lanner (GenAI, OpenAI-powered), Smar",regex
1182,Anthropic,model,Anthropic Claude agentic,regex
1182,NVIDIA,platform,"erprise scale; NVIDIA DGX SuperPOD """,regex
