company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
Petrobras,BR,Energy & Utilities,Oil & gas,Internal Ops,"Generative AI corporate tool (Azure OpenAI) supporting 100,000+ employees",CONFIRMED,100k+ workers,P,https://agencia.petrobras.com.br,missing
Petrobras,BR,Energy & Utilities,Oil & gas,Industrial Operations,Digital twins integrated with AI to cut risk/costs; R$11.2M investment (with Wiise) in AI for offshore well operational safety,CONFIRMED,R$11.2M invest,P,https://olhardigital.com.br / https://cenarioenergia.com.br,missing
Petrobras,BR,Energy & Utilities,Oil & gas,Financial Services,Proprietary AI tool to identify/monitor debtor assets for recovery; ML tool forecasting domestic fuel-market sales/revenue,CONFIRMED,none,P,https://agencia.petrobras.com.br / https://eixos.com.br,missing
PRIO,BR,Energy & Utilities,Oil & gas,Industrial Operations,"""Shape Lighthouse"" (Shape Digital) AI platform for offshore asset mgmt/predictive failure anticipation in Campos Basin; ~15% reduction in unplanned downtime projected",CONFIRMED,~15% downtime cut (projected),P,https://estadao.com.br,missing
Raízen,BR,Energy & Utilities,Oil & gas / bioenergy,Industrial Operations,"AI predictive-maintenance model for sugarcane harvesters (colhedoras), predicting injector lifespan; reported R$58M savings; AI for agri monitoring & logistics",CONFIRMED,R$58M savings,P,https://telesintese.com.br / https://raizen.com.br,missing
Ultra,BR,Retail & E-commerce,Oil & gas / fuel distribution,Industrial Operations,"Ultragaz uses sensors + AI to identify optimal energy loads in industrial laundries; internal ""UGPT"" custom GPT tool for process optimization",CONFIRMED,none,P,https://neofeed.com.br / https://gasescombustiveis.com.br,missing
Vibra Energia,BR,Retail & E-commerce,Oil & gas / fuel distribution,Supply Chain,AI-driven predictive inventory management reduced fuel stock by R$900M since 2023; AI for logistics efficiency,CONFIRMED,R$900M inventory reduction,P,https://epocanegocios.globo.com,2023
Vibra Energia,BR,Retail & E-commerce,Oil & gas / fuel distribution,Retail Analytics,"""Posto 360 2.0"" AI platform + vehicle-flow cameras turning gas stations into smart consumption centers; AI for B2B CRM",CONFIRMED,none,P,https://bloomberglinea.com.br / https://valor.globo.com,missing
Auren Energia,BR,Energy & Utilities,Utilities/energy,Industrial Operations,"""Tactics Energy"" AI platform (with Aquarela Analytics) for free-market energy trading; 68% assertiveness over 2 years, recommended 520+ transactions",CONFIRMED,"68% assertiveness, 520+ trades",P,https://tiinside.com.br / https://aurenenergia.com.br,missing
Axia Energia,BR,Energy & Utilities,Utilities/energy,Industrial Operations,"(Eletrobras rebrand) 250+ drones + AI monitoring generation/transmission assets to optimize inspections & reduce team risk; ""Eletro.ia"" strategic AI-scaling program",CONFIRMED,250+ drones,P,https://osetoreletrico.com.br / https://axia.com.br/inovacao,missing
Novartis International AG,CH,Healthcare & Life Sciences,Health care,Pharma R&D / Drug Discovery,"AI integrated into R&D to assess new molecules and accelerate clinical trial timelines (company disclosure, 2024 Annual Report & Novartis stories)",CONFIRMED,none quantified,P,https://www.novartis.com/stories/supercharging-rd-how-ai-helps-us-bring-medicines-patients-faster,2024
Novartis International AG,CH,Healthcare & Life Sciences,Health care,Pharma R&D / Drug Discovery,AI drug discovery partnership with Generate:Biomedicines,CONFIRMED,$1B partnership deal size (not clinical result),P,https://www.novartis.com/stories/supercharging-rd-how-ai-helps-us-bring-medicines-patients-faster,missing
Roche Holding AG,CH,Healthcare & Life Sciences,Health care,Pharma R&D / Drug Discovery,"AI drug discovery on 3,500+ NVIDIA Blackwell GPUs (""AI factories"" with Omniverse); CDO Wafaa Mamilli disclosure",CONFIRMED,"none quantified (3,500+ GPUs infra scale)",P,https://blogs.nvidia.com/blog/roche-ai-factories-omniverse/,missing
Roche Holding AG,CH,Healthcare & Life Sciences,Health care,Health care / Diagnostics,AI for next-gen diagnostics development (Roche/NVIDIA joint),CONFIRMED,none quantified,P,https://blogs.nvidia.com/blog/roche-ai-factories-omniverse/,missing
Nestlé SA,CH,Retail & E-commerce,Retail staples,Product Innovation / R&D,In-house GenAI tool used end-to-end in product innovation process (Nestlé disclosure),CONFIRMED,none quantified,P,https://emerj.com/nestle-artificial-intelligence-use-cases/,missing
Nestlé SA,CH,Retail & E-commerce,Retail staples,Supply Chain / Demand Forecasting,"AI for demand forecasting, stockout prediction, pricing & promo optimization",CONFIRMED,none quantified,I,https://www.nestleusa.com/,missing
ABB Ltd,CH,Industrial / Machinery,Industrials,Industrials / Predictive Maintenance,"ABB Ability Genix Industrial Analytics & AI Suite — predictive maintenance, asset performance management, condition monitoring (ABB-disclosed named product)",CONFIRMED,none quantified,P,https://global.abb/topic/genix/home,missing
ABB Ltd,CH,Industrial / Machinery,Industrials,Industrials / Robotics,"AI-powered robotics/cobots (ABB Robotics Division; strategic disclosures, no named metric)",CLAIMED,none,I,https://new.abb.com/products/robotics,missing
UBS Group AG,CH,Financial Services,Financials,Marketing / Content Generation,"AI analyst video avatars using OpenAI + Synthesia to deliver investment insights to clients (UBS disclosed, May 2025)",CONFIRMED,"~5,000 analyst videos/personalized (planned global rollout)",P,https://www.swissinfo.ch/eng/ubs-ai-avatars/,2025-05
UBS Group AG,CH,Financial Services,Financials,Financial Services / Wealth Management,AI wealth platform for personalized investment insights & portfolio recommendations (Zurich tech centre),CONFIRMED,none quantified,P,https://www.ubs.com/global/en/wealthmanagement.html,missing
Compagnie Financière Richemont SA,CH,Retail & E-commerce,Retail discretionary,HR / Recruitment,"AI recruitment automation via Veritone across Cartier, Van Cleef & Arpels, IWC (disclosed Oct 2024)",CONFIRMED,none quantified,P,https://fortune.com/europe/2024/10/31/richemont-ai-automation-hiring-veritone/,2024-10
Compagnie Financière Richemont SA,CH,Retail & E-commerce,Retail discretionary,Supply Chain / Demand Forecasting,AI for demand forecasting & product provenance verification in hard luxury,CLAIMED,none,I,https://peterfisk.com/event/richemont-the-opportunities-of-ai-to-drive-business-transformation-in-luxury-businesses/,missing
Zurich Insurance Group AG,CH,Financial Services,Financials,Insurance / Claims Processing,"GenAI for claims summarization, medical doc summaries, key-term & PII/PHI redaction (Zurich ""AI at Zurich"" disclosure)",CONFIRMED,none quantified,P,https://www.zurich.com/about-us/ai-at-zurich,missing
Zurich Insurance Group AG,CH,Financial Services,Financials,Insurance / Underwriting,GenAI tools supporting faster underwriting decisions,CONFIRMED,none quantified,P,https://www.zurich.com/about-us/ai-at-zurich,missing
Holcim Limited,CH,Chemicals & Materials,Materials,Manufacturing / Predictive Maintenance,"C3 AI Reliability predictive maintenance across cement plants (piloted 2023, scaled to 45 plants by June 2024, 3,000 sensors)",CONFIRMED,"45 plants / 3,000 sensors; target 100+ plants in 4 yrs",P,https://c3.ai/news/c3-ai-delivers-production-increases-predictive-maintenance-across-holcims-global-network-for-a-net-zero-future/,2024-06
Holcim Limited,CH,Chemicals & Materials,Materials,Manufacturing / Process Optimization,"""Plants of Tomorrow"" AI program — quality, process optimization, computer vision",CONFIRMED,target 100+ plants over 4 yrs,I,https://www.rockproducts.com/2024/06/27/holcim-to-deploy-artificial-intelligence-at-plants/,2024
Swiss Reinsurance Company Ltd,CH,Financial Services,Financials,Insurance / Underwriting,Life Guide Scout — GenAI underwriting assistant (Azure OpenAI) giving underwriters cited answers + risk calculators (disclosed Apr 2024),CONFIRMED,none quantified,P,https://news.microsoft.com/de-ch/2024/04/22/,2024-04
Lonza Group AG,CH,Chemicals & Materials,Materials,Pharma R&D / Process Design,AI-Enabled Route Scouting Service — AI (Elsevier Reaxys) + Lonza R&D/supply-chain data to identify synthetic routes for novel APIs (launched Apr 2024),CONFIRMED,none quantified,P,https://www.lonza.com/knowledge-center/Blogs/better-pharma-manufacturing-ai-route-design,2024-04
Swisscom AG,CH,Telecom,Communication services,Telecom / Network Operations,"AI network operations assistant built on Amazon Bedrock (multi-agent, serverless) — Swisscom disclosure via AWS",CONFIRMED,none quantified,P,https://aws.amazon.com/blogs/machine-learning/transforming-network-operations-with-ai-how-swisscom-built-a-network-assistant-using-amazon-bedrock/,missing
Swisscom AG,CH,Telecom,Communication services,IT Infrastructure / AI Platform,"Swiss AI Platform — sovereign commercial AI infra (data stays in CH), launched Nov 2024",CONFIRMED,CHF 100M investment,P,https://www.swisscom.ch/en/about/news/2024/11/28-ai-platform.html,2024-11
Swisscom AG,CH,Telecom,Communication services,Customer Support / Sales,Enterprise agentic AI for customer support & sales (Amazon Bedrock AgentCore),CONFIRMED,none quantified,P,https://aws.amazon.com/blogs/machine-learning/transforming-network-operations-with-ai-how-swisscom-built-a-network-assistant-using-amazon-bedrock/,missing
Givaudan SA,CH,Chemicals & Materials,Materials,Product Innovation / R&D,"Carto — AI fragrance formulation tool (pre-screens thousands of formula variants, learns perfumer preferences; robotic device in Givaudan facilities)",CONFIRMED,none quantified,P,https://www.givaudan.com/fragrance-beauty/perfumery-school/carto-the-future-of-fragrance-formulations,missing
Alcon Inc,CH,Healthcare & Life Sciences,Health care,Health care / Surgical Planning,"SMARTCataract DX — AI cataract surgical planning/diagnostics (CE Mark Aug 2024, pilots Q4 2024, rollout 2025); Alcon IR disclosure",CONFIRMED,none quantified,P,https://investor.alcon.com/,2024-08
Sika AG,CH,Chemicals & Materials,Materials,R&D / Knowledge Management,Nuage global digital R&D lab + AI-powered enterprise search (Sinequa) to unlock R&D/product knowledge (Sika disclosure),CONFIRMED,none quantified,P,https://www.sinequa.com/resources/assets/from-data-to-insight-how-sika-became-information-driven-with-ai-powered-search/,missing
Amrize AG,CH,Chemicals & Materials,Materials,Manufacturing / Materials R&D,"AI-optimized concrete mix design (with Meta open-source AI models) for Meta's Rosemount data center, ECOPact low-carbon concrete",CONFIRMED,projected 35% reduction in concrete carbon footprint,P,https://www.amrize.com/us/en/media/newsroom/amrize-and-meta-partner-on-ai-optimized-concrete.html,missing
Swiss Life Holding AG,CH,Financial Services,Financials,Insurance / (partnership only),"Brand Engagement Network (BEN) partnership to develop AI for insurance operations — announcement only, no named live deployment",CLAIMED,none,I,https://www.swisslife.com/,missing
Kuehne + Nagel,CH,Industrial / Machinery,Industrials,Logistics / Supply Chain Visibility,"KN OmniPredict — AI predictive logistics integrating vessel positions, weather, port congestion & geopolitical data (K+N disclosure)",CONFIRMED,none quantified,P,https://newsroom.kuehne-nagel.com/,missing
Kuehne + Nagel,CH,Industrial / Machinery,Industrials,Customer Support / Process Optimization,K.AI — centralized generative AI platform for CX and process optimization (K+N disclosure),CONFIRMED,none quantified,P,https://newsroom.kuehne-nagel.com/,missing
Geberit AG,CH,Industrial / Machinery,Industrials,Customer Support / Email Routing,AI-based customer email classification & routing (developed with Statworx; Geberit disclosure),CONFIRMED,none quantified,P,https://www.statworx.com/en/content-hub/,missing
Geberit AG,CH,Industrial / Machinery,Industrials,Internal Ops / AI Enablement,AI Competence Centre + hackathons building autonomous AI agents (Geberit Annual Report 2025),CONFIRMED,none quantified,I,https://www.geberit.com/investor-relations/,2025
Logitech International SA,CH,Technology,Information technology,Product Feature / Video Collaboration,AI auto-framing & speaker tracking in MeetUp 2 conferencing hardware (Logitech disclosure),CONFIRMED,none quantified,P,https://www.logitech.com/en-us/video-collaboration/products/meetup2.html,missing
Logitech International SA,CH,Technology,Information technology,Product Feature / Gaming,"AI Streaming Agent (marketed as ""industry's first""); AI-enabled products cited as revenue driver Q2 2025",CONFIRMED,AI-enabled products boosted sales (no figure),P,https://www.reuters.com/technology/,2025
Ping An Insurance,CN,Financial Services,Financials,Insurance underwriting/claims/service,"""AI in All"" strategy; self-developed vertical LLMs for underwriting, pricing, claims, operations, healthcare; AI service reps",CONFIRMED,NONE (annual report qualitative),I,https://view.inews.qq.com/a/20260326A0803K00,missing
CATL,CN,Industrial / Machinery,Industrials,Manufacturing quality inspection,"AI machine-vision defect detection in ""极限制造/lighthouse factories""; 200+ process defect categories, world's richest defective-battery DB; AI across R&D-manufacturing-maintenance",CONFIRMED,R&D cycle compression >70% (self-claimed),I,https://www.intel.cn/content/www/cn/zh/customer-spotlight/cases/catl-cloud-edge-end-defect-detection-solution.html,missing
China Merchants Bank,CN,Financial Services,Financials,Banking ops / customer service,"""AI First"" strategy; AIAgent for long-tail retail wealth service; AI reimbursement processing (1.138M paperless reports/yr); self-built 10B-param financial LLM (open-sourced)",CONFIRMED,reimbursement efficiency +63% (self-claimed),I,https://www.cmbchina.com (2024 annual report),2024
Midea Group,CN,Retail & E-commerce,Consumer Discretionary,Smart manufacturing + product AI,Proprietary home-appliance LLM; AI visual inspection stations in 5G factories; AI agent middleware platform; AI-driven supply chain optimization,CONFIRMED,"6bn yuan AI investment over 3yrs (self-claimed); 2024 report mentions ""AI"" 87x",I,https://www.midea.com (2024 annual report),2024
Wuliangye,CN,Retail & E-commerce,Consumer Staples,Smart manufacturing (brewing),"""智能酿造示范车间"" operating with intelligent batching, bionic mixing, smart 装甑 robots; brewing large model + ""AI勾调系统"" (AI blending) + smart sensory evaluation; published AI action plan",CONFIRMED,NONE,I,https://www.baijiutriangle.com/post/zhong-guo-gong-cheng-yuan-yuan-shi-sun-bao-guo-jia/,missing
China Yangtze Power,CN,Energy & Utilities,Utilities,Hydropower ops / predictive maintenance,"""大禹"" (Dayu) hydropower large model for fault diagnosis & O&M; intelligent dispatch across Three Gorges; patent CN120494785A on industrial-internet fault diagnosis; AI paper in Nature Communications",CONFIRMED,NONE,I,https://www.cypc.com.cn/cypc/zxgg99/xwzx29/ssxw/2025052208382294936/index.html,missing
Industrial Bank,CN,Financial Services,Financials,Banking ops / trading / service,"""AI+"" action plan; 200+ AI agents deployed; ""6+X"" AI capability + ""1+7"" application system; named ""兴小二"" AI bond-trading robot (PBOC fintech 2nd-prize); AI digital customer service",CONFIRMED,200+ agents live (self-claimed),I,https://www.cib.com.cn (2024 annual report),2024
Zijin Mining,CN,Chemicals & Materials,Materials,Smart mining / ore processing,"""紫金选矿试验AI辅助系统v1.0.0"" (ore-selection AI); ""紫金方舟"" (Zijin Ark) smart-mine platform; AI+5G full-automation drilling/loading/transport; Zijin AI Assistant integrating DeepSeek",CONFIRMED,NONE,I,https://www.zjky.cn,missing
CITIC Securities,CN,Financial Services,Financials,Investment / trading strategy,Deep learning + LLMs integrated into alternative-investment operations to accelerate strategy development; AI across research & risk management (2024/2025 annual report),CONFIRMED,NONE,I,https://www.citics.com/newsite/tzzgx/ggyth/gg/aggg/202503/P020250326744021551870.pdf,2024
Jiangsu Hengrui Medicine,CN,Healthcare & Life Sciences,Health Care,AI drug discovery / R&D,"DeepSeek-R1 LLM deployed since Feb 2025 across drug R&D, clinical decisioning & supply chain; multimodal data mining for novel targets (3 undisclosed targets to IND prep); drug repurposing analysis",CONFIRMED,"3 new targets to IND prep (self-claimed, 2025 interim report)",I,https://xueqiu.com/6986618788/347646116,2025-02
Industrial and Commercial Bank of China,CN,Financial Services,Financials,Banking ops / risk / service,"Self-controlled billion-parameter LLM deployed across 30+ domains / 500+ scenarios; AI digital workers ≈55,000 person-years of work; ""数智工行(AI-ICBC)""; published AI large-model whitepaper (Oct 2024)",CONFIRMED,"AI digital workers ≈55,000 person-years (self-claimed)",I,https://v.icbc.com.cn/userfiles/resources/icbcltd/download/2025/8.pdf,2024-10
Inner Mongolia Yili,CN,Retail & E-commerce,Consumer Staples,Product AI / smart manufacturing / marketing,"""YILI-GPT"" dairy-industry LLM (text-to-image etc.); AI embedded in 138 production processes; AI content generation; supply-chain AI agent with Alibaba Cloud Tongyi",CONFIRMED,digital content cost -40% (self-claimed); target -20% industry cost in 3yrs,I,https://static.cninfo.com.cn (Yili 2024 annual report),2024
East Money Information,CN,Financial Services,Financials,Investment research / advisory,"Self-developed ""妙想"" (Miaoxiang) financial LLM; AI investment assistant; ""首个基于金融大模型的智能应用""; AI integrated across all product/business lines",CONFIRMED,NONE,I,https://ai.eastmoney.com/miaoxiang/,missing
Gree Electric,CN,Retail & E-commerce,Consumer Discretionary,Manufacturing quality inspection,5G+AI visual inspection platform (800 quality params); AI black-light factory (GSMA GLOMO award 2025); AI energy-saving control chips in air conditioners,CONFIRMED,"defect rate 0.5%→0.06%, inspection efficiency +30x (self-claimed)",I,https://xueqiu.com/7302058516/332238673,2025
Mindray,CN,Healthcare & Life Sciences,Health Care,Medical device AI (product),"""启元/Qiyuan"" critical-care medical LLM (claimed first global critical-care vertical model); Qiyuan ultrasound model; AI blood-cell morphology recognition in IVD; AI in N-series monitors/R-series ultrasound",CONFIRMED,NONE,I,"https://www.mindray.com (Qiyuan launch, CSUM2025)",missing
BYD,CN,Retail & E-commerce,Consumer Discretionary,Autonomous driving (product),"""天神之眼"" (God's Eye) ADAS/intelligent-driving system (v5.0, end-to-end + world model); ""璇玑""(Xuanji) AI architecture; mapless CNOA nationwide; 1.2M vehicles generating >72M km driving data/day",CONFIRMED,72M km assisted-driving data/day (self-claimed),I,https://www.byd.com (God's Eye / Xuanji launch),missing
Bank of Communications,CN,Financial Services,Financials,Banking ops / risk / wealth,"Billion-parameter financial LLM matrix; ""1+1+N"" AI system; largest heterogeneous compute cluster in CN finance; AI investment-research generation, smart assistant, automated compliance reviews",CONFIRMED,">1,000 person-years of labor released via AI in 2024 (self-claimed)",I,https://www.bankcomm.com (2024 annual report),2024
Wanhua Chemical,CN,Chemicals & Materials,Materials,Chemical R&D + plant operations,"""AI For Science"" R&D projects (reduced experiments); materials LLM w/ Peking Univ (industry-first); ""TPT"" time-series pretrained transformer deployed at Ningbo chlor-alkali 650kt caustic-soda plant for autonomous optimization",CONFIRMED,NONE,I,https://www.chemall.com.cn/news/show-217566.html,missing
BOE Technology,CN,Technology,Information Technology,Display manufacturing quality inspection,"""AI工厂"" (AI Factory) core apps deployed; ""蓝鲸""(Bluewhale) display-sector LLM; cloud-edge AI defect detection + root-cause analysis (Intel edge platform)",CONFIRMED,NONE,I,https://t.cj.sina.com.cn/articles/view/1646434045/622296fd00102zejc,missing
Bank of Jiangsu,CN,Financial Services,Financials,Banking ops / credit / service,"""智慧小苏""(Smart Xiaosu) in-house LLM w/ local DeepSeek deployment; 62 AI scenarios; AI credit-review aid (>500 apps/day); smart contract QC, valuation reconciliation, code completion",CONFIRMED,credit approval peak capacity +40% (self-claimed),I,https://www.jsbchina.cn (2024/2025 annual report),2024
Luxshare Precision,CN,Technology,Information Technology,Manufacturing quality / maintenance,"AI full-process closed-loop factory quality monitoring: rapid fault diagnosis, intelligent repair recommendation, predictive maintenance, automated repair (company site)",CONFIRMED,NONE,I,https://www.luxshare-ict.com/innovate-technology.html,missing
Shenzhen Inovance,CN,Industrial / Machinery,Industrials,Internal R&D / industrial software,"""iFG (InovanceFactoryGenius)"" platform w/ intelligent Q&A, code generation; registered ""汇川AI模型训练平台V1.0"" software copyright; AI machine vision on production lines",CONFIRMED,NONE,I,https://static.cninfo.com.cn/finalpage/2025-08-26/1224573425.PDF,2025
Agricultural Bank of China,CN,Financial Services,Financials,Banking ops / risk / service,"""ChatABC"" financial LLM (v1.0 Mar 2023, internal-employee Q&A + auto ticket reply); ""AI+"" innovation program w/ dedicated Smart Banking office; AI in risk/fraud & customer service",CONFIRMED,NONE,I,https://k.sina.com.cn/article_7072825535_1a592c0bf001013z79.html,2023-03
Hikvision,CN,Technology,Information Technology,AI perception / video analytics (product),"""观澜""(Guanlan) large model system (foundation→vertical→products→industry apps); AI Open Platform (dataset/annotation/training); DeepSeek+Guanlan integration in security platform (Mar 2025)",CONFIRMED,NONE,I,https://www.hikvision.com (Guanlan whitepaper),2025-03
Luzhou Laojiao,CN,Retail & E-commerce,Consumer Staples,Smart manufacturing (brewing),"""Golden Production Batch"" AI model (historical+real-time+craftsman data) predicting premium-liquor yield; AI digital detection; first ""excellence-class intelligent factory"" in baijiu",CONFIRMED,process deviation response time -80% (self-claimed),I,http://www.news.cn (Luzhou Laojiao smart factory),missing
LONGi Green Energy,CN,Technology,Information Technology,PV manufacturing quality inspection,"Industry-first full-process AI quality inspection; Jiaxing PV ""lighthouse factory"" (one module / 12s); AI+industrial-IoT+digital-twin across bases (30+ digitalization use cases)",CONFIRMED,one module every 12s (self-claimed),I,https://www.longi.com (2024/2025 annual report),2024
China Shenhua Energy,CN,Energy & Utilities,Energy,Smart coal mining,"AI intelligent mine (Shendong/Daliuta: 20+ intelligent projects, remote coal extraction); 45.46M yuan invested in coal-industry LLM research; ""AI+智能综合平台"" w/ domestic AI tool chain",CONFIRMED,45.46M yuan LLM project (disclosed),I,https://www.sohu.com/a/954597538_121924584,missing
Beijing-Shanghai HSR,CN,Industrial / Machinery,Industrials,Rail predictive maintenance,"""智能综合运维管理系统V1.0"" — 2D/3D digital model, multi-disciplinary lifecycle data fusion, PHM bridge health monitoring",CONFIRMED,NONE,I,http://www.cr-jh.cn/newsCenter/goArticlePage/19/2/12/1256,missing
Sinopec,CN,Energy & Utilities,Energy,Refining/drilling ops + digital workforce,"""长城""(Great Wall) large model (100k+ users, 6k+ daily apps, 1,590 agents, 150M tokens/day); self-built AI middle platform; localized DeepSeek; first oil/petrochem AI digital employee (Jan 2025, 40+ stations)",CONFIRMED,"smart-plant efficiency +15%, prediction error -10% (self-claimed)",I,https://www.sinopec.com (Great Wall model),2025-01
Shanxi Xinghuacun Fen Wine,CN,Retail & E-commerce,Consumer Staples,Smart manufacturing (brewing),"AI real-time fermentation control system (12 core indicators: temp, humidity, microbial activity); industrial-internet platform upgrades",CONFIRMED,premium base-liquor rate 68.2% early 2025 (self-claimed),I,https://www.10100.com/article/41962451,2025
China State Construction,CN,Industrial / Machinery,Industrials,Construction / project mgmt,"""建证""(Jianzheng) billion-parameter multimodal large model (Sep 2024); AI in design, site supervision, O&M; AI monitoring-engineer pilot",CONFIRMED,NONE,I,https://www.cscec.com/xwzx_new/gsyw_new/202509/3904759.html,2024-09
WuXi AppTec,CN,Healthcare & Life Sciences,Health Care,AI drug discovery (CRDMO),"AI in compound design (""7-day"" molecule development); Wuhan AI-driven robotic lab (3 chemical-reaction validations/sec); open API/joint labs enabling 300+ startups",CLAIMED,300+ startups enabled (3rd-party),I,https://m.baidu.com/bh/m/detail/ar_9542411828220059470,missing
Muyuan Foodstuff,CN,Retail & E-commerce,Consumer Staples,Smart livestock farming,"AI + big data + industrial IoT across pig-production stages (smart feeding, disease detection); intelligent devices to lower farming cost",CONFIRMED,"complete cost 13.1→12.1 yuan/kg (self-claimed, multi-factor)",I,https://yuanchuang.10jqka.com.cn/20250210/c665921375.shtml,missing
Ping An Bank,CN,Financial Services,Financials,Banking ops / developer productivity,390+ large-model application scenarios; AI-assisted development coverage >94%; AI-generated code >30%,CONFIRMED,"AI-assisted dev >94%, AI code >30% (self-claimed)",I,https://bank.pingan.com (2024/2025 annual report),2024
