company,country,vertical,raw_sector,horizontal,use_case,existence,value_claimed,tier,source_url,date
China Petroleum & Chemical Corporation (Sinopec),CN,Energy & Utilities,Energy,Back-office / Ops,Enterprise AI platform with 500+ digital employees deployed,CONFIRMED,500+ digital employees,P,https://chinacpc.com.cn/info/2026-07-20/news_11752.html,2026
Shanxi Xinghuacun Fen Wine Factory,CN,Retail & E-commerce,Consumer Staples,Core / Domain,AI quality control integrated with automated distillation in capacity-expansion project,CLAIMED,none,I,https://www.sohu.com,2025
China State Construction Engineering,CN,Real Estate & Construction,Industrials,Core / Domain,National construction-engineering large model R&D initiative for AI in construction,CLAIMED,none,I,https://www.toutiao.com,2024
Wens Foodstuff Group,CN,Agriculture,Consumer Staples,Core / Domain,MuShiTong AI visual monitoring system for digital livestock farming,CONFIRMED,none,I,https://meat360.cn,2026
Wens Foodstuff Group,CN,Agriculture,Consumer Staples,Core / Domain,AI diagnostic/veterinary system for livestock disease detection (with Huawei),CONFIRMED,none,I,https://www.sohu.com,2025
Shaanxi Coal Industry Company,CN,Mining & Materials,Energy,Core / Domain,Visual AI gas/methane safety monitoring and personnel-risk identification model in coal mines,CONFIRMED,none,I,https://www.sohu.com/a/948972972_122362510,2025
Shaanxi Coal Industry Company,CN,Mining & Materials,Energy,Core / Domain,AI-assisted intelligent coal extraction at work face 431301,CLAIMED,industry-leading,I,https://sxgz.shaanxi.gov.cn,2026
Semiconductor Manufacturing International Corporation (SMIC),CN,Manufacturing & Robotics,Information Technology,Core / Domain,Patent filings for ML wafer defect and anomaly detection in semiconductor process (patent-level not confirmed deployed),CLAIMED,none,I,https://www.163.com,2023
Weichai Power,CN,Manufacturing & Robotics,Industrials,Core / Domain,AI-enabled leading-tier intelligent factory and end-to-end AI R&D platform,CONFIRMED,none,P,https://www.weichai.com,2025-11
China United Network Communications (China Unicom),CN,Telecom,Communication,Core / Domain,Yuanjing large model family (1B-34B) and MaaS platform for industry AI,CONFIRMED,none,P,https://www.cnii.com.cn/rmydb/202402/t20240228_547329.html,2024-02
Qingdao Haier (Haier Smart Home),CN,Manufacturing & Robotics,Consumer Discretionary,Core / Domain,HomeGPT / UHome smart-home large model and AI-eye vision system for autonomous home management,CONFIRMED,130M+ registered users,P,https://www.haier.com,2023-11
Sungrow Power Supply,CN,Energy & Utilities,Industrials,Core / Domain,AI energy-storage management (PowerTitan 3.0) with autonomous AI-brain optimization,CONFIRMED,config checks cut from 17 days to 1 hour,P,https://cn.sungrowpower.com/news/1629.html,2024
Bank of Ningbo,CN,Financial Services,Financials,Core / Domain,LLM project department for Q&A search text analysis content generation and intelligent scheduling,CONFIRMED,none,I,https://stock.10jqka.com.cn,2025
TCL Corporation,CN,Manufacturing & Robotics,Information Technology,Core / Domain,X-Intelligence 3.0 vertical large model for display/semiconductor manufacturing (on Qwen3),CONFIRMED,RMB 5.4bn economic benefit in 2024,I,https://news.qq.com/rain/a/20250115A063UT00,2025-12
China International Travel Service (China Tourism Group Duty Free),CN,Retail & E-commerce,Consumer Discretionary,Sales / Marketing,AI consumer-insight and member recognition/recommendation system for duty-free retail,CONFIRMED,none,P,https://www.ctg.cn/article/16470,2024
Hygon Information Technology,CN,Manufacturing & Robotics,Information Technology,Core / Domain,DCU (Deep Computing Unit) AI accelerator chips for large-model training and inference,CONFIRMED,operator coverage over 99%,I,https://finance.sina.com.cn,2025
Huatai Securities,CN,Financial Services,Financials,Core / Domain,AI ZhangLe app with AI stock selection market monitoring and dynamic valuation models,CONFIRMED,dynamic valuation for 1000+ companies,I,https://news.aibase.com/zh/news/23277,2025-10
Poly Real Estate Group (Poly Developments),CN,Real Estate & Construction,Real Estate,Core / Domain,AIGC smart design platform and DeepSeek-V3 smart-home optimization,CLAIMED,18% energy efficiency improvement,I,https://finance.sina.com.cn,2025
Will Semiconductor,CN,Manufacturing & Robotics,Information Technology,Core / Domain,AI-ISP image sensor chips combining CIS with edge AI algorithms for AR/AI glasses,CLAIMED,none,I,https://www.sohu.com,2025
SAIC Motor,CN,Manufacturing & Robotics,Consumer Discretionary,Core / Domain,IM Ultra Agent smart cockpit and autonomous driving with Qwen/DeepSeek LLM integration,CONFIRMED,none,P,https://www.saicmotor.com,2024-03
SAIC Motor,CN,Manufacturing & Robotics,Consumer Discretionary,Core / Domain,L4 robotaxi fleet and autonomous-driving data collection vehicles in Lingang,CONFIRMED,fleet target 10000+ vehicles by 2025,I,https://36kr.com,2024-12
Fuyao Glass Industry Group,CN,Manufacturing & Robotics,Consumer Discretionary,Core / Domain,AI-powered defect detection and quality inspection in auto-glass manufacturing,CLAIMED,detection precision 0.05mm,I,https://www.glacn.cn/news/show-19796.html,missing
